"","station","year","target_depth_m","name","n"
"503","NAPL",2001,5,"ammonia",1
"504","NAPL",2001,5,"no2_no3",0.416666666666667
"505","NAPL",2001,5,"po4",0
"506","NAPL",2001,5,"tchl",0
"507","NAPL",2001,5,"urea",1
"508","NAPL",2001,10,"ammonia",1
"509","NAPL",2001,10,"no2_no3",0.416666666666667
"510","NAPL",2001,10,"po4",0
"511","NAPL",2001,10,"tchl",0
"512","NAPL",2001,10,"urea",1
"513","NAPL",2002,1,"ammonia",0.8
"514","NAPL",2002,1,"no2_no3",0.4
"515","NAPL",2002,1,"po4",0.2
"516","NAPL",2002,1,"tchl",0
"517","NAPL",2002,1,"urea",1
"518","NAPL",2002,5,"ammonia",0.8
"519","NAPL",2002,5,"no2_no3",0.3
"520","NAPL",2002,5,"po4",0.1
"521","NAPL",2002,5,"tchl",0
"522","NAPL",2002,5,"urea",1
"523","NAPL",2002,10,"ammonia",0.8
"524","NAPL",2002,10,"no2_no3",0.2
"525","NAPL",2002,10,"po4",0
"526","NAPL",2002,10,"tchl",0
"527","NAPL",2002,10,"urea",1
"528","NAPL",2002,NA,"ammonia",1
"529","NAPL",2002,NA,"no2_no3",0.5
"530","NAPL",2002,NA,"po4",0
"531","NAPL",2002,NA,"tchl",0
"532","NAPL",2002,NA,"urea",1
"533","NAPL",2003,1,"ammonia",0.363636363636364
"534","NAPL",2003,1,"no2_no3",0.454545454545455
"535","NAPL",2003,1,"po4",0.272727272727273
"536","NAPL",2003,1,"tchl",0.0909090909090909
"537","NAPL",2003,1,"urea",1
"538","NAPL",2003,5,"ammonia",0.454545454545455
"539","NAPL",2003,5,"no2_no3",0.545454545454545
"540","NAPL",2003,5,"po4",0.181818181818182
"541","NAPL",2003,5,"tchl",0.0909090909090909
"542","NAPL",2003,5,"urea",1
"543","NAPL",2003,10,"ammonia",0.363636363636364
"544","NAPL",2003,10,"no2_no3",0.454545454545455
"545","NAPL",2003,10,"po4",0.181818181818182
"546","NAPL",2003,10,"tchl",0.0909090909090909
"547","NAPL",2003,10,"urea",1
"548","NAPL",2004,1,"ammonia",0.1
"549","NAPL",2004,1,"no2_no3",0.7
"550","NAPL",2004,1,"po4",0.4
"551","NAPL",2004,1,"tchl",0.1
"552","NAPL",2004,1,"urea",1
"553","NAPL",2004,5,"ammonia",0.1
"554","NAPL",2004,5,"no2_no3",0.4
"555","NAPL",2004,5,"po4",0.3
"556","NAPL",2004,5,"tchl",0.1
"557","NAPL",2004,5,"urea",1
"558","NAPL",2004,10,"ammonia",0
"559","NAPL",2004,10,"no2_no3",0.3
"560","NAPL",2004,10,"po4",0.1
"561","NAPL",2004,10,"tchl",0.1
"562","NAPL",2004,10,"urea",1
"563","NAPL",2005,1,"ammonia",0.181818181818182
"564","NAPL",2005,1,"no2_no3",0.454545454545455
"565","NAPL",2005,1,"po4",0.181818181818182
"566","NAPL",2005,1,"tchl",0
"567","NAPL",2005,1,"urea",1
"568","NAPL",2005,5,"ammonia",0.181818181818182
"569","NAPL",2005,5,"no2_no3",0.363636363636364
"570","NAPL",2005,5,"po4",0.0909090909090909
"571","NAPL",2005,5,"tchl",0
"572","NAPL",2005,5,"urea",1
"573","NAPL",2005,10,"ammonia",0.0909090909090909
"574","NAPL",2005,10,"no2_no3",0.272727272727273
"575","NAPL",2005,10,"po4",0
"576","NAPL",2005,10,"tchl",0
"577","NAPL",2005,10,"urea",1
"578","NAPL",2006,1,"ammonia",0.2
"579","NAPL",2006,1,"no2_no3",0.4
"580","NAPL",2006,1,"po4",0.2
"581","NAPL",2006,1,"tchl",0
"582","NAPL",2006,1,"urea",1
"583","NAPL",2006,5,"ammonia",0.2
"584","NAPL",2006,5,"no2_no3",0.4
"585","NAPL",2006,5,"po4",0.4
"586","NAPL",2006,5,"tchl",0
"587","NAPL",2006,5,"urea",1
"588","NAPL",2006,10,"ammonia",0
"589","NAPL",2006,10,"no2_no3",0
"590","NAPL",2006,10,"po4",0
"591","NAPL",2006,10,"tchl",0
"592","NAPL",2006,10,"urea",1
"593","NAPL",2008,1,"ammonia",0.25
"594","NAPL",2008,1,"no2_no3",0.166666666666667
"595","NAPL",2008,1,"po4",0
"596","NAPL",2008,1,"tchl",0
"597","NAPL",2008,1,"urea",1
"598","NAPL",2008,5,"ammonia",0
"599","NAPL",2008,5,"no2_no3",0
"600","NAPL",2008,5,"po4",0
"601","NAPL",2008,5,"tchl",0
"602","NAPL",2008,5,"urea",1
"603","NAPL",2008,10,"ammonia",0
"604","NAPL",2008,10,"no2_no3",0
"605","NAPL",2008,10,"po4",0
"606","NAPL",2008,10,"tchl",0
"607","NAPL",2008,10,"urea",1
"608","NAPL",2009,1,"ammonia",0.25
"609","NAPL",2009,1,"no2_no3",0.333333333333333
"610","NAPL",2009,1,"po4",0
"611","NAPL",2009,1,"tchl",0
"612","NAPL",2009,1,"urea",1
"613","NAPL",2009,5,"ammonia",0.0833333333333333
"614","NAPL",2009,5,"no2_no3",0.0833333333333333
"615","NAPL",2009,5,"po4",0
"616","NAPL",2009,5,"tchl",0
"617","NAPL",2009,5,"urea",1
"618","NAPL",2009,10,"ammonia",0.0833333333333333
"619","NAPL",2009,10,"no2_no3",0
"620","NAPL",2009,10,"po4",0
"621","NAPL",2009,10,"tchl",0
"622","NAPL",2009,10,"urea",1
"623","NAPL",2010,1,"ammonia",0.416666666666667
"624","NAPL",2010,1,"no2_no3",0.5
"625","NAPL",2010,1,"po4",0
"626","NAPL",2010,1,"tchl",0
"627","NAPL",2010,1,"urea",1
"628","NAPL",2010,5,"ammonia",0.0833333333333333
"629","NAPL",2010,5,"no2_no3",0.0833333333333333
"630","NAPL",2010,5,"po4",0
"631","NAPL",2010,5,"tchl",0
"632","NAPL",2010,5,"urea",1
"633","NAPL",2010,10,"ammonia",0
